startpoint,endpoint,weight,edge number
245,54,4517,346
245,55,2986,347
245,138,1010,348
245,252,336,349
245,253,1110,350
245,143,570,351
245,254,232,352
245,255,855,353
245,56,937,354
245,57,206,355
245,60,19209,356
245,61,807,357
245,256,1575,358
245,62,145183,359
245,257,182,360
245,66,118,361
245,258,773,362
245,259,3431,363
245,260,110,364
245,69,688,365
245,159,279,366
245,70,119,367
245,72,172,368
245,261,1653,369
245,73,50,370
245,262,215,371
245,75,1971,372
245,263,147,373
245,264,46,374
245,265,106,375
245,79,121,376
245,80,138960,377
245,171,1292,378
245,83,64,379
245,266,121,380
245,85,70,381
245,174,124,382
245,175,190,383
245,86,61230,384
245,87,87,385
245,177,88,386
245,88,569,387
245,267,100,388
245,229,6,389
245,181,21473,390
245,268,445,391
245,90,134,392
245,91,806,393
245,92,4592,394
245,186,1345,395
245,269,709,396
245,188,2240,397
245,95,1195,398
245,270,630,399
245,96,1000,400
245,271,1358,401
245,97,65517,402
245,191,118,403
245,272,510,404
245,194,826,405
245,273,434,406
245,100,139,407
245,102,191,408
245,274,2202,409
245,275,883,410
245,203,50790,411
245,276,931,412
245,240,1301,413
245,277,1,414
245,278,32,415
245,279,3482,416
245,212,402,417
245,106,4320,418
280,69,62742,419
281,32,2097,420
2,1,9,421
2,11,9,422
2,282,1,423
2,25,76,424
2,283,1018,425
2,31,153,426
2,284,67,427
2,32,65834,428
2,285,25,429
2,286,2,430
2,287,1,431
2,288,60,432
2,289,87,433
2,290,2,434
2,291,1,435
2,292,111,436
2,293,640,437
2,5,449,438
2,294,2,439
2,295,8,440
2,296,93,441
2,297,2509,442
2,298,28,443
2,299,43,444
2,3,2661,445
2,300,4,446
2,301,13,447
2,302,21,448
2,303,424,449
2,34,90,450
2,304,3101,451
2,305,2084,452
2,306,4,453
2,307,28,454
2,308,7,455
2,309,53,456
2,310,2,457
2,311,7,458
2,312,6,459
313,124,32,460
313,128,25,461
313,314,23,462
313,315,85,463
313,53,31,464
313,54,31,465
313,55,30,466
313,138,25,467
313,147,39,468
313,59,72,469
313,60,134,470
313,148,27,471
313,258,27,472
313,164,25,473
313,316,33,474
313,171,33,475
313,317,72,476
313,83,63,477
313,318,162,478
313,319,72,479
313,320,33,480
313,321,35,481
313,322,105,482
313,269,28,483
313,102,29,484
313,323,177,485
313,279,27,486
313,106,61,487
324,74,349,488
324,317,527,489
325,326,103,490
325,327,53,491
325,328,3,492
325,22,2078,493
325,23,16,494
325,329,1,495
325,330,38,496
325,331,71,497
325,332,12,498
325,333,21,499
325,334,29,500
325,335,5,501
325,336,17,502
325,337,35,503
338,46,44151,504
338,339,17,505
338,340,868,506
338,249,16,507
338,140,521,508
338,252,7,509
338,341,1035,510
338,342,608,511
338,145,48,512
338,57,32097,513
338,343,214,514
338,344,123,515
338,108,143,516
338,256,220,517
338,345,132,518
338,67,4,519
338,346,2039,520
338,347,334,521
338,10,4,522
338,158,3567,523
338,159,40434,524
338,71,19,525
338,348,542,526
338,349,91,527
338,350,657,528
338,82,17477,529
338,317,1760,530
338,174,155,531
338,178,16,532
338,88,224,533
338,321,847,534
338,351,78,535
338,352,784,536
338,353,353,537
338,191,115,538
338,354,2,539
338,355,1083,540
338,356,6,541
338,273,318,542
338,357,1492,543
338,275,193,544
338,240,45,545
358,195,120,546
359,360,3,547
359,10,7,548
361,362,90,549
361,363,923,550
361,165,173,551
364,10,6,552
365,366,1660,553
365,367,2,554
365,368,13,555
365,369,3,556
370,74,15739,557
370,176,17,558
246,245,1372,559
246,46,138679,560
246,47,70,561
246,49,2,562
246,51,17,563
246,371,51,564
246,54,3,565
246,55,86015,566
246,252,8,567
246,143,4,568
246,57,14829,569
246,150,8,570
246,372,6,571
246,65,1079,572
246,154,33,573
246,68,3,574
246,111,124,575
246,76,1,576
246,77,1230,577
246,78,1,578
246,350,2,579
246,82,138,580
246,373,3,581
246,83,2,582
246,87,1,583
246,374,9,584
246,90,690,585
246,96,4,586
246,272,82,587
246,194,6,588
246,98,562,589
246,375,166,590
246,104,216,591
246,376,3,592
246,106,88,593
377,57,13168,594
377,159,14453,595
377,165,1900,596
377,349,11,597
378,46,3700,598
378,51,201,599
378,379,31,600
378,380,35,601
378,372,62,602
378,381,30,603
378,76,104,604
378,382,4,605
378,383,26,606
378,177,33,607
378,98,44,608
378,102,29,609
378,384,31,610
378,240,26,611
385,386,7,612
385,147,1402,613
385,387,3,614
388,326,48,615
388,32,45,616
388,389,238,617
388,21,3535,618
388,390,9,619
388,22,58,620
388,391,36,621
388,14,13,622
388,392,71,623
388,393,61,624
388,43,15,625
394,32,26,626
394,292,288,627
394,395,8,628
396,17,48,629
396,397,1585,630
396,398,3,631
396,399,5,632
396,400,11,633
396,401,85,634
396,402,25,635
396,403,5,636
396,404,5,637
396,405,39,638
396,406,5,639
396,407,3,640
396,408,5,641
396,409,4,642
396,410,13,643
396,411,9,644
396,412,14,645
396,413,77,646
396,414,9,647
396,415,8,648
396,416,2,649
283,2,1112,650
283,284,2,651
283,5,4,652
283,297,16,653
283,3,2,654
283,303,4,655
283,304,63,656
283,305,6,657
417,418,22088,658
417,74,4422,659
417,165,255573,660
417,196,68764,661
31,30,551,662
31,2,157,663
31,283,24,664
31,32,27009,665
31,397,3,666
31,419,86,667
31,420,73,668
31,421,224,669
31,422,9,670
31,290,2128,671
31,423,7,672
31,292,56,673
31,398,4,674
31,33,1203,675
31,424,5,676
31,425,174,677
31,426,260,678
31,295,658,679
31,427,478,680
31,428,493,681
31,429,1,682
31,430,10,683
31,431,2,684
31,432,208,685
31,297,11,686
31,433,11,687
31,434,75,688
31,435,35,689
31,403,17,690
31,436,360,691
31,437,3,692
31,438,16,693
31,34,1,694
31,439,28,695
31,440,34,696
31,441,28,697
31,442,47,698
31,443,2,699
31,444,15,700
31,445,13,701
31,35,655,702
31,446,363,703
31,447,5,704
31,306,669,705
31,448,4223,706
31,449,23,707
31,310,8,708
31,36,164,709
31,450,17,710
31,451,23,711
31,452,147,712
31,453,2,713
31,37,292,714
326,325,16,715
326,388,48,716
326,32,18,717
326,21,114,718
326,390,84,719
326,327,413,720
326,328,8,721
326,22,3110,722
326,330,17,723
326,391,106,724
326,120,17,725
326,14,15,726
326,393,28,727
326,454,2,728
326,43,1,729
326,122,27,730
326,336,2,731
326,455,2,732
326,456,1,733
326,457,2,734
458,373,114,735
459,460,7,736
125,124,167,737
125,245,1478,738
125,127,2,739
125,461,2960,740
125,46,66451,741
125,47,25,742
125,128,811,743
125,462,21,744
125,48,2,745
125,129,55,746
125,49,878,747
125,131,2,748
125,51,1951,749
125,132,186,750
125,133,5466,751
125,463,367,752
125,135,1488,753
125,136,905,754
125,137,191314,755
125,249,86,756
125,250,13,757
125,464,5,758
125,53,2,759
125,54,46396,760
125,55,104855,761
125,138,29,762
125,252,10,763
125,143,13016,764
125,254,17,765
125,255,40,766
125,145,737,767
125,146,45559,768
125,147,2639,769
125,57,559,770
125,58,7,771
125,60,76428,772
125,148,140,773
125,108,68,774
125,150,53022,775
125,62,40863,776
125,63,3,777
125,64,16,778
125,152,109,779
125,66,116,780
125,154,5,781
125,258,171,782
125,67,71,783
125,157,1836,784
125,10,48,785
125,69,66156,786
125,159,229,787
125,70,13,788
125,72,96,789
125,465,3,790
125,73,494,791
125,74,11982,792
125,363,149,793
125,236,121,794
125,164,45042,795
125,165,294,796
125,77,15136,797
125,466,7,798
125,79,748,799
125,80,96629,800
125,81,67699,801
125,82,294,802
125,171,136,803
125,317,59,804
125,83,82,805
125,467,19,806
125,84,12,807
125,266,6,808
125,174,25688,809
125,468,3302,810
125,175,254,811
125,86,24,812
125,469,11,813
125,176,667,814
125,470,2131,815
125,177,56,816
125,178,61,817
125,88,115116,818
125,180,587,819
125,181,617,820
125,90,74689,821
125,183,370,822
125,92,112,823
125,471,12,824
125,269,85,825
125,188,2841,826
125,95,81,827
125,270,111,828
125,189,397,829
125,96,3,830
125,271,116,831
125,472,35,832
125,97,1586,833
125,190,658,834
125,191,956,835
125,272,15,836
125,354,16,837
125,194,232,838
125,195,736,839
125,196,71,840
125,375,106,841
125,197,214,842
125,113,1650,843
125,199,370,844
125,200,122,845
125,102,1932,846
125,230,4,847
125,203,42458,848
125,103,49,849
125,204,2,850
125,473,13,851
125,104,99,852
125,460,8,853
125,474,146,854
125,278,37,855
125,475,12,856
125,106,4424,857
126,124,363,858
126,139,5,859
126,156,1,860
45,44,96,861
45,476,105,862
45,66,1,863
45,477,112,864
45,70,29,865
45,174,22221,866
45,478,162,867
45,177,74,868
45,375,124,869
45,279,120,870
479,147,6722,871
480,182,61,872
480,184,6,873
480,195,28983,874
284,11,4,875
284,2,93,876
284,283,5,877
284,307,5,878
127,124,109,879
127,233,59,880
127,128,2034,881
127,49,177,882
127,51,53,883
127,132,5,884
127,135,21,885
127,137,407,886
127,141,255,887
127,145,136121,888
127,147,43912,889
127,57,93547,890
127,148,122,891
127,108,130,892
127,109,734,893
127,62,14,894
127,152,10,895
127,258,134,896
127,157,15102,897
127,158,331,898
127,69,3,899
127,159,48199,900
127,70,37,901
127,111,1057,902
127,161,24,903
127,164,29308,904
127,481,75,905
127,165,937,906
127,166,7,907
127,77,42,908
127,78,103,909
127,168,27,910
127,79,78,911
127,80,377,912
127,81,340,913
127,82,14638,914
127,174,6,915
127,175,261,916
127,176,84,917
127,177,3,918
127,178,21,919
127,179,42,920
127,182,13,921
127,90,20,922
127,183,546,923
127,188,58,924
127,190,876,925
127,191,2790,926
127,195,15,927
127,196,126,928
127,197,29,929
127,113,166,930
127,199,8,931
127,102,606,932
127,203,207,933
127,204,1,934
127,104,150,935
482,150,49944,936
483,46,654,937
483,133,19,938
483,484,11487,939
483,60,1706,940
483,74,76243,941
483,88,55847,942
485,46,165046,943
485,133,104965,944
485,143,259,945
485,147,4104,946
485,57,44783,947
485,60,302181,948
485,150,142959,949
485,69,138492,950
485,159,143559,951
485,74,251188,952
485,165,107510,953
485,80,39859,954
485,82,61646,955
485,317,1092,956
485,174,224955,957
485,179,1,958
485,88,126330,959
485,182,56119,960
485,90,41457,961
485,195,103706,962
485,196,107099,963
486,362,79,964
486,363,375,965
486,487,36,966
32,18,9,967
32,124,29,968
32,281,1978,969
32,2,65790,970
32,388,46,971
32,394,10,972
32,31,26469,973
32,326,15,974
32,17,8450,975
32,488,181,976
32,46,19805,977
32,489,8,978
32,397,55993,979
32,315,366,980
32,490,10,981
32,21,16227,982
32,390,23,983
32,491,89,984
32,420,5241,985
32,288,14722,986
32,138,87,987
32,492,7,988
32,146,753,989
32,147,41805,990
32,57,22260,991
32,290,24290,992
32,493,209,993
32,60,11775,994
32,292,23947,995
32,494,70,996
32,495,18,997
32,33,5,998
32,496,3,999
32,399,396,1000
32,293,78596,1001
32,150,12059,1002
32,22,213644,1003
32,476,1,1004
32,23,1,1005
32,497,9949,1006
32,498,241,1007
32,329,172,1008
32,499,480,1009
32,500,62,1010
32,418,36656,1011
32,5,24655,1012
32,159,52288,1013
32,425,40,1014
32,395,70,1015
32,426,3674,1016
32,74,345,1017
32,366,70040,1018
32,332,3,1019
32,429,73,1020
32,501,2,1021
32,502,699,1022
32,297,32,1023
32,434,301,1024
32,435,9,1025
32,503,2,1026
32,3,1,1027
32,403,6,1028
32,27,4097,1029
32,504,12318,1030
32,505,4,1031
32,437,31,1032
32,506,220,1033
32,164,628,1034
32,165,21622,1035
32,507,7,1036
32,508,4044,1037
32,79,353,1038
32,80,223,1039
32,83,31,1040
32,406,5,1041
32,172,1,1042
32,174,131028,1043
32,509,4,1044
32,510,546,1045
32,511,15,1046
32,512,38,1047
32,439,124,1048
32,374,1249,1049
32,391,11,1050
32,334,9,1051
32,513,9076,1052
32,514,29433,1053
32,88,93501,1054
32,14,25602,1055
32,515,27,1056
32,516,2,1057
32,445,54,1058
32,182,85926,1059
32,517,2,1060
32,90,14333,1061
32,183,40782,1062
32,393,8,1063
32,518,32,1064
32,519,335,1065
32,520,2277,1066
32,447,31,1067
32,306,6,1068
32,521,29,1069
32,522,2,1070
32,335,7,1071
32,121,6979,1072
32,523,43,1073
32,524,2,1074
32,411,23,1075
32,97,52,1076
32,43,29108,1077
32,449,3809,1078
32,195,652416,1079
32,196,19438,1080
32,525,13,1081
32,368,12046,1082
32,526,12,1083
32,113,70376,1084
32,527,16,1085
32,528,3036,1086
32,529,495,1087
32,530,5,1088
32,531,6,1089
32,532,5,1090
32,533,3,1091
32,310,29,1092
32,203,3,1093
32,534,35865,1094
32,535,6321,1095
32,414,36,1096
32,450,15223,1097
32,536,59,1098
32,537,2,1099
32,538,1996,1100
32,539,3256,1101
32,540,101,1102
32,541,7,1103
32,542,236,1104
32,543,12,1105
32,205,11089,1106
32,544,166,1107
32,106,26,1108
545,546,31,1109
545,137,30,1110
545,317,37,1111
545,188,66,1112
545,96,27,1113
545,202,61,1114
545,278,33,1115
17,547,2,1116
17,396,40,1117
17,32,7950,1118
17,488,461,1119
17,397,2253,1120
17,548,415,1121
17,422,451,1122
17,398,1,1123
17,399,1,1124
17,549,15,1125
17,329,32,1126
17,550,811,1127
17,551,4,1128
17,501,704,1129
17,431,1,1130
17,401,15,1131
17,402,1441,1132
17,552,3,1133
17,27,152,1134
17,405,3,1135
17,553,4,1136
17,508,54,1137
17,406,17,1138
17,511,4,1139
17,334,1,1140
17,523,71,1141
17,411,468,1142
17,525,499,1143
17,527,274,1144
17,554,128,1145
17,413,36,1146
17,535,49,1147
17,555,20,1148
556,229,1,1149
557,46,5489,1150
557,129,66,1151
557,55,4070,1152
557,57,72,1153
557,150,28274,1154
557,74,12250,1155
557,317,38721,1156
557,180,1,1157
557,273,18010,1158
488,32,203,1159
488,17,452,1160
488,397,18,1161
488,22,7,1162
488,329,5,1163
488,550,43,1164
488,501,32,1165
488,402,8,1166
488,27,1,1167
488,404,1,1168
488,508,20,1169
488,406,1,1170
488,334,1,1171
488,525,20,1172
488,527,2,1173
558,69,4293,1174
558,262,2,1175
285,2,19,1176
559,560,1,1177
559,136,3,1178
559,165,2,1179
559,205,6,1180
559,206,1,1181
559,106,4,1182
286,136,29,1183
286,165,4,1184
286,561,6,1185
286,205,16,1186
562,279,3,1187
563,564,16,1188
563,60,8607,1189
563,63,7,1190
565,418,1456,1191
565,165,12350,1192
566,390,13,1193
566,327,2,1194
566,567,4,1195
566,568,2,1196
566,328,4,1197
566,22,1565,1198
566,23,9,1199
566,569,244,1200
566,331,1,1201
566,294,5,1202
566,570,186,1203
566,456,7,1204
571,572,4,1205
571,133,6,1206
571,54,168,1207
571,60,155,1208
571,150,122683,1209
571,74,29102,1210
571,76,4,1211
571,88,71321,1212
571,181,4,1213
461,125,2177,1214
461,223,3,1215
573,62,675,1216
573,317,14,1217
573,574,72,1218
573,181,11128,1219
575,46,3618,1220
575,128,5,1221
575,136,34,1222
575,54,9,1223
575,147,178605,1224
575,149,2,1225
575,476,1,1226
575,159,103,1227
575,576,1,1228
575,165,15019,1229
575,79,3,1230
575,88,16989,1231
575,190,4,1232
575,192,7,1233
575,196,4066,1234
575,197,2,1235
575,113,3762,1236
575,230,11,1237
575,204,9,1238
575,277,1,1239
575,106,4,1240
577,182,1381,1241
577,192,2,1242
577,205,2,1243
578,46,30863,1244
578,129,211,1245
578,546,4,1246
578,133,5,1247
578,150,28519,1248
578,74,73663,1249
578,317,6,1250
578,88,820,1251
578,90,23465,1252
578,196,55,1253
578,230,13,1254
578,203,381,1255
389,388,250,1256
389,21,2100,1257
389,390,40,1258
389,327,2,1259
389,22,6,1260
389,391,46,1261
389,393,49,1262
389,43,6,1263
46,44,36918,1264
46,124,134143,1265
46,209,3518,1266
46,210,34281,1267
46,213,894,1268
46,215,12302,1269
46,245,56953,1270
46,338,44847,1271
46,246,132662,1272
46,378,2713,1273
46,125,67896,1274
46,483,832,1275
46,485,166498,1276
46,32,20198,1277
46,557,4733,1278
46,575,4159,1279
46,578,30872,1280
46,47,18093,1281
46,579,70141,1282
46,128,226979,1283
46,314,126386,1284
46,580,56981,1285
46,581,35935,1286
46,129,238229,1287
46,546,224,1288
46,582,4587,1289
46,49,256202,1290
46,50,79,1291
46,583,55750,1292
46,584,47,1293
46,585,166637,1294
46,51,279967,1295
46,340,48813,1296
46,132,2,1297
46,586,3931,1298
46,587,8165,1299
46,133,735025,1300
46,371,29573,1301
46,588,54942,1302
46,589,25614,1303
46,379,118163,1304
46,135,313370,1305
46,137,670190,1306
46,590,17761,1307
46,591,8240,1308
46,249,170728,1309
46,592,4897,1310
46,250,245533,1311
46,593,48291,1312
46,594,259909,1313
46,595,130,1314
46,596,23,1315
46,597,119269,1316
46,464,41524,1317
46,52,326492,1318
46,54,178479,1319
46,598,35,1320
46,55,738729,1321
46,138,345624,1322
46,140,50881,1323
46,599,40332,1324
46,252,62864,1325
46,341,46362,1326
46,253,256391,1327
46,600,2877,1328
46,143,247717,1329
46,601,257,1330
46,342,64,1331
46,602,17982,1332
46,255,171907,1333
46,145,143,1334
46,56,304763,1335
46,146,819339,1336
46,603,314,1337
46,147,744514,1338
46,57,1047132,1339
46,604,40576,1340
46,58,25,1341
46,59,51024,1342
46,60,650570,1343
46,605,61681,1344
46,606,56839,1345
46,607,81527,1346
46,148,84666,1347
46,608,12762,1348
46,108,80814,1349
46,149,28,1350
46,609,40490,1351
46,610,36326,1352
46,150,480035,1353
46,611,86721,1354
46,612,65478,1355
46,22,1171,1356
46,256,117098,1357
46,613,1457,1358
46,614,82222,1359
46,615,166,1360
46,62,1138775,1361
46,616,28290,1362
46,63,226510,1363
46,617,7536,1364
46,618,9484,1365
46,497,142795,1366
46,220,222,1367
46,619,2664,1368
46,257,31160,1369
46,64,34447,1370
46,620,48662,1371
46,152,751,1372
46,621,1845,1373
46,622,62470,1374
46,153,99,1375
46,372,96657,1376
46,65,155657,1377
46,66,144,1378
46,154,32773,1379
46,258,87878,1380
46,623,74680,1381
46,259,176421,1382
46,67,159189,1383
46,381,18089,1384
46,346,49829,1385
46,624,1121,1386
46,347,13506,1387
46,625,9839,1388
46,626,20683,1389
46,627,289,1390
46,418,99030,1391
46,157,323936,1392
46,10,197451,1393
46,158,2255,1394
46,68,171787,1395
46,69,436406,1396
46,159,384598,1397
46,628,115578,1398
46,70,163110,1399
46,71,93607,1400
46,72,414731,1401
46,362,118,1402
46,629,667,1403
46,576,9127,1404
46,465,150114,1405
46,73,690018,1406
46,74,308478,1407
46,630,92528,1408
46,363,292,1409
46,348,19695,1410
46,164,722552,1411
46,165,930587,1412
46,76,129508,1413
46,631,41410,1414
46,77,1113663,1415
46,167,65,1416
46,632,72491,1417
46,633,143318,1418
46,634,68764,1419
46,635,50561,1420
46,78,152856,1421
46,636,58850,1422
46,637,150,1423
46,638,5959,1424
46,639,36558,1425
46,640,55937,1426
46,641,59145,1427
46,642,10850,1428
46,265,185617,1429
46,79,404752,1430
46,382,1186,1431
46,80,1295182,1432
46,350,88224,1433
46,81,451952,1434
46,643,16421,1435
46,82,440946,1436
46,169,134667,1437
46,170,492,1438
46,644,23426,1439
46,373,97745,1440
46,171,36359,1441
46,317,744299,1442
46,83,393444,1443
46,645,2,1444
46,383,452,1445
46,467,128180,1446
46,84,160170,1447
46,646,35070,1448
46,647,4902,1449
46,266,117652,1450
46,648,8189,1451
46,85,2500,1452
46,174,702005,1453
46,175,543863,1454
46,649,2846,1455
46,650,27804,1456
46,651,67838,1457
46,652,37238,1458
46,86,120420,1459
46,87,149309,1460
46,653,207,1461
46,654,211,1462
46,374,95176,1463
46,469,53152,1464
46,176,15139,1465
46,513,736,1466
46,177,113425,1467
46,178,94183,1468
46,179,74628,1469
46,88,641052,1470
46,180,261124,1471
46,655,162,1472
46,656,1101,1473
46,181,544919,1474
46,182,166491,1475
46,517,2146,1476
46,657,44308,1477
46,658,274144,1478
46,90,777720,1479
46,183,560380,1480
46,659,133,1481
46,660,124,1482
46,92,429684,1483
46,93,22761,1484
46,471,386832,1485
46,322,9966,1486
46,661,1133,1487
46,662,12533,1488
46,663,62,1489
46,664,45868,1490
46,94,320,1491
46,665,50396,1492
46,186,102199,1493
46,187,19733,1494
46,269,85862,1495
46,188,588141,1496
46,95,414358,1497
46,189,516,1498
46,96,63899,1499
46,666,1756,1500
46,271,218781,1501
46,97,512592,1502
46,667,7450,1503
46,352,39785,1504
46,190,351705,1505
46,353,28283,1506
46,191,465836,1507
46,272,315070,1508
46,354,33758,1509
46,668,54924,1510
46,194,197157,1511
46,355,34473,1512
46,195,477389,1513
46,196,545914,1514
46,356,46260,1515
46,375,57334,1516
46,669,2,1517
46,670,5375,1518
46,197,45514,1519
46,198,24340,1520
46,99,95095,1521
46,273,327407,1522
46,100,4234,1523
46,113,503767,1524
46,199,97230,1525
46,200,185326,1526
46,671,240,1527
46,101,332119,1528
46,102,418695,1529
46,672,58539,1530
46,673,96464,1531
46,674,11546,1532
46,675,83,1533
46,676,21178,1534
46,677,20381,1535
46,678,27829,1536
46,679,9367,1537
46,274,85256,1538
46,680,1021,1539
46,230,2,1540
46,357,18457,1541
46,202,152734,1542
46,323,64062,1543
46,203,927578,1544
46,276,86599,1545
46,103,80968,1546
46,239,4957,1547
46,204,103855,1548
46,240,155279,1549
46,681,35828,1550
46,104,11397,1551
46,682,40486,1552
46,683,16187,1553
46,684,41314,1554
46,105,157630,1555
46,685,71,1556
46,376,70668,1557
46,540,5,1558
46,686,643,1559
46,687,32,1560
46,212,78718,1561
46,205,4686,1562
46,688,199,1563
46,106,166494,1564
46,231,57730,1565
689,397,1886,1566
689,398,12,1567
689,399,2,1568
689,400,6,1569
689,431,13,1570
689,401,16,1571
689,402,4,1572
689,403,1,1573
689,404,37,1574
689,405,40,1575
689,407,27,1576
689,408,13,1577
689,409,28,1578
689,413,2,1579
689,310,6,1580
689,415,10,1581
689,416,9,1582
689,690,3,1583
489,32,8,1584
489,292,6,1585
47,245,121,1586
47,46,18403,1587
47,128,7,1588
47,51,89,1589
47,133,44,1590
47,135,10,1591
47,249,33,1592
47,250,31,1593
47,52,59,1594
47,55,18,1595
47,143,80,1596
47,147,12225,1597
